Text1,Text2,Class,GroupId,RowInGroup
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,Conflict,51,1
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall remotely monitor from the air locations extending up to 25 miles of the target.,Conflict,51,2
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide a remote surveillance from the air of a location within 40 Km of the origin.,Conflict,51,3
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide a remote surveillance from the air of a location within 32.19 Km of the origin.,Conflict,51,4
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,Conflict,51,5
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,Aviary shall provide remote monitoring of a wide range of locations from the air and from the point of origin.,Conflict,51,6
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide a remote surveillance from the ground of a location within 20 miles of the origin. ,Conflict,51,7
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide non-local surveillance from flight to a location within 20 miles of the origin. ,Conflict,51,8
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the Hummingbird.,Conflict,51,9
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,"Within 20 miles of the origin, the Aviary can be used for surveillance.",Conflict,51,10
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide a local surveillance from the air of a location within 20 miles of the origin.,Conflict,51,11
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide a remote surveillance from the air of a location within the radius of 20 miles of the origin.,Conflict,51,12
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide a remote surveillance from the air of a location within 200 miles of the origin.,Conflict,51,13
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,"The Aviary shall remotely surveil from the air, within 20 miles of the center.",Conflict,51,14
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Aviary shall provide a remote surveillance from the air of a location within 40 miles of the origin.,Conflict,51,15
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The UAV shall only accept commands from an valid Pilot controller.,Neutral,51,16
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,Only some UAV data transmission shall be secure against unauthorized access.,Neutral,51,17
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The aircraft shall be known as the anybird.,Neutral,51,18
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,"The Pilot controller shall be able to define, upload, initiation a flight plan to the Hummingbird consisting of a set of waypoints within the flight range of the Hummingbird.",Neutral,51,19
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,"The Pilot controller shall automatically reconnect in the event of communication loss and automatically reconnect, if possible.",Neutral,51,20
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,The Pilot controller shall automatically reconnect when a communication loss has occurred.,Neutral,51,21
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,These are the customer requirements for the Aviary System,Neutral,51,22
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by independent operations personnel.,Conflict,53,1
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote viewer navigation shall be enabled through video streaming by no more than four operaters.,Conflict,53,2
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote viewer navigation shall be enabled through video streaming by no less than four operaters.,Conflict,53,3
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for automatic navigation of the surveillance platform and for remote viewer by at least 8 independent operations personnel.,Conflict,53,4
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform.,Conflict,53,5
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Conflict,53,6
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote monitoring should include video streaming for manual operation of the monitoring platform and remote monitoring by multiple operations personnel.,Conflict,53,7
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming during automatic navigation of the surveillance platform and for the remote viewer by at most four independent operations personnel. ,Conflict,53,8
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include a video stream during manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel. ,Conflict,53,9
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Conflict,53,10
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include movie streaming for manual navigation of the surveillance platform and for remote viewer by at least five dependent operations personnel.,Conflict,53,11
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance should include video streaming for manual navigation of the surveillance platform and for remote viewer by at the minimum four independent operations personnel.,Conflict,53,12
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,"Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer, by less than four independent operations personnel.",Conflict,53,13
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by no less than 4 independent operations personnel.,Conflict,53,14
